SalesOrderID,OrderDate,CustomerID,LineItem,ProductID,OrderQty,LineItemTotal
71774,2022-06-01,29847,1,836,1,356.9
71774,2022-06-01,29847,2,822,1,356.9
71776,2022-06-01,30072,1,907,1,63.9
71780,2022-06-01,30113,1,905,4,873.82
71780,2022-06-01,30113,2,983,2,923.39
71780,2022-06-01,30113,3,988,6,406.79
71780,2022-06-01,30113,4,748,2,1637.4
71780,2022-06-01,30113,5,990,1,323.99
71780,2022-06-01,30113,6,926,1,149.87
71780,2022-06-01,30113,7,743,1,809.76
71780,2022-06-01,30113,8,782,4,5507.98
71780,2022-06-01,30113,9,918,2,316.86
71780,2022-06-01,30113,10,780,4,5567.98
71780,2022-06-01,30113,11,937,1,48.59
71780,2022-06-01,30113,12,867,6,251.96
71780,2022-06-01,30113,13,985,1,67.8
71780,2022-06-01,30113,14,989,2,647.99
71780,2022-06-01,30113,15,991,3,971.98
71780,2022-06-01,30113,16,992,1,323.99
71780,2022-06-01,30113,17,993,2,647.99
71780,2022-06-01,30113,18,984,2,135.6
71780,2022-06-01,30113,19,986,3,203.4
71780,2022-06-01,30113,20,987,3,203.4
71780,2022-06-01,30113,21,981,2,923.39
71780,2022-06-01,30113,22,982,3,1385.08
71780,2022-06-01,30113,23,783,5,6884.97
71780,2022-06-01,30113,24,809,3,111.46
71780,2022-06-01,30113,25,810,1,72.16
71780,2022-06-01,30113,26,935,2,48.59
71780,2022-06-01,30113,27,925,1,149.87
71780,2022-06-01,30113,28,869,7,293.96
71780,2022-06-01,30113,29,880,1,32.99
71782,2022-06-02,29485,1,714,3,89.98
71782,2022-06-02,29485,2,956,3,4291.33
71782,2022-06-02,29485,3,954,1,1430.44
71782,2022-06-02,29485,4,712,10,53.94
71782,2022-06-02,29485,5,877,10,47.7
71782,2022-06-02,29485,6,996,4,291.58
71782,2022-06-02,29485,7,864,6,228.6
71782,2022-06-02,29485,8,876,3,216
71782,2022-06-02,29485,9,959,4,1781.64
71782,2022-06-02,29485,10,971,4,2915.64
71782,2022-06-02,29485,11,870,6,17.96
71782,2022-06-02,29485,12,978,1,445.41
71782,2022-06-02,29485,13,955,1,1430.44
71782,2022-06-02,29485,14,948,1,63.9
71782,2022-06-02,29485,15,994,1,32.39
71782,2022-06-02,29485,16,970,1,728.91
71782,2022-06-02,29485,17,966,2,2860.88
71782,2022-06-02,29485,18,884,4,129.58
71782,2022-06-02,29485,19,885,2,1204.69
71782,2022-06-02,29485,20,715,8,239.95
71782,2022-06-02,29485,21,894,3,218.63
71782,2022-06-02,29485,22,957,1,1430.44
71782,2022-06-02,29485,23,967,2,2860.88
